,close
close,2.220446049250313e-16
TRIMA,2.220446049250313e-16
PIVOT_FIB,0.0012686710264432355
PIVOT,0.0012686710264432355
HMA,0.0017447126497899257
ZLEMA,0.002598613100891378
MOBO,0.0030774131432638185
KAMA,0.004054983846050408
KC,0.007049730208203986
OBV,0.012174369558617948
accumulation_distribution,0.051121611623421215
Mass Index,0.053677536072302634
Avg True Range,0.0553431552612913
VWAP,0.055901579457140915
rsi,0.05844865303122293
var_90,0.06175424447208189
money_flow_index,0.07428046103654373
ADX,0.12191114208100096
volatility,0.13108548275058773
stochastic_oscillator,0.14423876061723784
ER,0.2133201567453088
Negative Volume Index,0.21594621855406793
Ulcer Index,0.29000686121311114
mdd,0.3732665048228361
coppock_curve,0.7937526872382843
TSI,0.8128644800001457
FISH,0.8344841719416889
CMO,0.8509005789471578
IFT_RSI,0.8536176019463176
Vortex Indicator,0.8591455696010848
Awesome Oscillator,0.8778524524205198
Aroon Indicator,0.9232979692115449
commodity_chanel_index,0.9398525414509052
ROC,1.0
TRIX,1.0052231358395072
MACD,1.0105015470154495
chaikin,1.0118151994430629
Detrend Price Oscillator,1.0290513081558326
ease_of_movement,1.0312791039080216
EFI,1.1094456976388751
