,Forward MDD
Forward MDD,1.0
ADX,0.3191586180082073
KAMA,0.17202270126767136
VWAP,0.15453296843883182
OBV,0.14284149673309118
KC,0.13622608161114386
Avg True Range,0.13203932801294616
TRIMA,0.12827555984325487
close,0.12827555984325487
HMA,0.12606217110709336
PIVOT_FIB,0.12587715757047693
PIVOT,0.12587715757047693
mdd,0.12284049104399473
MOBO,0.1225796567306511
Negative Volume Index,0.11365337758863128
ZLEMA,0.1127646641024876
accumulation_distribution,0.10121988275740153
Ulcer Index,0.07023797988712435
Mass Index,0.06495436925204624
ease_of_movement,0.02970232805559439
MACD,0.027289288843035137
volatility,0.01653347227688615
TRIX,0.005473090419422867
EFI,0.0014932639364765856
chaikin,-0.029108002536076504
coppock_curve,-0.03790019750614621
money_flow_index,-0.06042205627127107
rsi,-0.07022399518498386
TSI,-0.0704882829858169
IFT_RSI,-0.07201656054785908
FISH,-0.07563839275879142
CMO,-0.0785252062011279
Awesome Oscillator,-0.07891847239200762
Detrend Price Oscillator,-0.08522788766672384
Vortex Indicator,-0.0866726692747599
commodity_chanel_index,-0.10585923331247704
stochastic_oscillator,-0.11763712795446145
ER,-0.12859911725211554
var_90,-0.1507457463080451
Aroon Indicator,-0.1570271710215099
ROC,
